usertype,postal code,id,gamma_u,c_u,user_id,number_of_trips
Customer,0,1,750,0.5,1,1
Customer,0,2,500,0.0,2,1
Customer,0,3,1000,0.5,3,1
Customer,0,4,0,1.0,4,1
Customer,00000,5,750,2.0,5,172
Customer,00000,6,1000,0.5,6,172
Customer,00000,7,250,1.5,7,172
Customer,00000,8,250,0.5,8,172
Customer,00000,9,0,0.2,9,172
Customer,00000,10,750,1.5,10,171
Customer,00000,11,500,0.1,11,171
Customer,00000,12,750,0.1,12,171
Customer,00000,13,500,1.0,13,171
Customer,00000,14,1500,1.5,14,171
Customer,00001,15,500,0.1,15,1
Customer,00001,16,250,0.5,16,1
Customer,00101,17,1500,0.5,17,1
Customer,00101,18,1500,0.0,18,1
Customer,00120,19,250,0.0,19,1
Customer,00120,20,250,0.2,20,1
Customer,00121,21,250,0.1,21,1
Customer,0019,22,500,1.0,22,1
Customer,0019,23,0,2.0,23,1
Customer,00196,24,1000,0.5,24,1
Customer,00196,25,250,0.2,25,1
Customer,00209,26,500,1.5,26,1
Customer,00225,27,250,0.1,27,1
Customer,00225,28,1000,1.0,28,1
Customer,00225,29,0,0.1,29,1
Customer,00225,30,1500,1.0,30,1
Customer,00225,31,250,0.2,31,1
Customer,00225,32,250,0.5,32,1
Customer,00225,33,750,0.0,33,1
Customer,00225,34,250,0.5,34,1
Customer,00225,35,0,0.2,35,1
Customer,00270,36,0,0.5,36,1
Customer,00270,37,750,0.2,37,1
Customer,00354,38,1000,0.2,38,1
Customer,00354,39,2000,0.0,39,1
Customer,00612,40,2000,0.2,40,1
Customer,00612,41,250,0.1,41,1
Customer,00612,42,250,1.0,42,1
Customer,00612,43,250,1.0,43,1
Customer,00612,44,250,0.1,44,1
Customer,00612,45,750,0.2,45,1
Customer,00612,46,2000,1.0,46,1
Customer,00617,47,0,1.0,47,1
Customer,00617,48,1500,0.2,48,1
Customer,00617,49,750,0.1,49,1
Customer,00622,50,250,0.1,50,1
Customer,00622,51,500,1.5,51,1
Customer,00622,52,250,0.1,52,1
Customer,00622,53,1000,1.5,53,1
Customer,00622,54,500,1.0,54,1
Customer,00622,55,250,1.5,55,1
Customer,00622,56,250,1.5,56,1
Customer,00622,57,1000,0.2,57,1
Customer,00622,58,500,1.0,58,1
Customer,00623,59,250,0.0,59,1
Customer,00623,60,250,0.2,60,1
Customer,00623,61,2000,1.5,61,1
Customer,00623,62,750,0.5,62,1
Customer,00624,63,750,2.0,63,1
Customer,00646,64,250,1.0,64,1
Customer,00659,65,500,0.1,65,1
Customer,00662,66,1000,1.0,66,1
Customer,00662,67,750,1.5,67,1
Customer,00662,68,1000,1.5,68,1
Customer,00662,69,500,0.5,69,1
Customer,00680,70,1000,1.0,70,1
Customer,00680,71,250,0.5,71,1
Customer,00680,72,0,0.2,72,1
Customer,00692,73,750,0.5,73,1
Customer,00693,74,1000,0.1,74,1
Customer,00716,75,750,0.1,75,1
Customer,00716,76,250,1.5,76,1
Customer,00716,77,500,0.2,77,1
Customer,00716,78,1500,1.0,78,1
Customer,00716,79,1500,0.0,79,1
Customer,00716,80,1500,0.2,80,1
Customer,00725,81,500,1.0,81,1
Customer,00725,82,250,0.5,82,1
Customer,00725,83,250,0.1,83,1
Customer,00725,84,500,0.2,84,1
Customer,00725,85,750,1.5,85,1
Customer,00725,86,1000,0.5,86,1
Customer,00725,87,1500,1.5,87,1
Customer,00725,88,750,0.2,88,1
Customer,00726,89,750,1.0,89,1
Customer,00727,90,1500,1.5,90,1
Customer,00727,91,2000,0.1,91,1
Customer,00727,92,750,0.2,92,1
Customer,00727,93,1500,1.0,93,1
Customer,00727,94,0,1.5,94,1
Customer,00727,95,2000,1.0,95,1
Customer,00727,96,750,0.1,96,1
Customer,00727,97,250,0.2,97,1
Customer,00729,98,2000,0.2,98,1
Customer,00729,99,750,2.0,99,1
Customer,00729,100,1500,0.2,100,1
Customer,00729,101,500,1.5,101,1
Customer,00729,102,500,0.5,102,1
Customer,00729,103,250,0.2,103,1
Customer,00739,104,750,2.0,104,1
Customer,00754,105,1000,1.5,105,1
Customer,00754,106,750,0.5,106,1
Customer,00754,107,1000,0.1,107,1
Customer,00754,108,0,0.1,108,1
Customer,00754,109,1500,0.2,109,1
Customer,00754,110,1000,1.5,110,1
Customer,00754,111,250,1.5,111,1
Customer,00754,112,750,0.1,112,1
Customer,00778,113,1000,0.0,113,1
Customer,00778,114,250,0.2,114,1
Customer,00778,115,0,1.5,115,1
Customer,00780,116,1000,0.2,116,1
Customer,00780,117,500,0.5,117,1
Customer,00780,118,1500,1.0,118,1
Customer,00780,119,1000,0.2,119,1
Customer,00780,120,250,0.2,120,1
Customer,00780,121,500,0.5,121,1
Customer,00780,122,1000,1.5,122,1
Customer,00780,123,500,1.0,123,1
Customer,00783,124,0,0.1,124,1
Customer,00802,125,1000,0.1,125,1
Customer,00820,126,1500,0.1,126,1
Customer,00820,127,250,0.2,127,1
Customer,00901,128,250,0.2,128,1
Customer,00901,129,1500,1.5,129,1
Customer,00901,130,0,0.1,130,1
Customer,00907,131,250,0.2,131,1
Customer,00907,132,250,1.0,132,1
Customer,00907,133,500,1.5,133,1
Customer,00907,134,750,0.1,134,1
Customer,00907,135,250,0.0,135,1
Customer,00907,136,500,0.1,136,1
Customer,00907,137,250,0.1,137,1
Customer,00907,138,250,0.5,138,1
Customer,00907,139,1500,0.1,139,1
Customer,00909,140,0,1.0,140,2
Customer,00909,141,250,1.5,141,1
Customer,00909,142,250,0.2,142,1
Customer,00909,143,250,0.0,143,1
Customer,00909,144,1500,0.1,144,1
Customer,00909,145,500,0.2,145,1
Customer,00909,146,500,0.2,146,1
Customer,00909,147,250,0.1,147,1
Customer,00909,148,2000,0.1,148,1
Customer,00909,149,1000,0.5,149,1
Customer,00913,150,500,0.2,150,1
Customer,00913,151,750,0.1,151,1
Customer,00919,152,1000,2.0,152,1
Customer,00919,153,250,1.0,153,1
Customer,00919,154,500,1.5,154,1
Customer,00919,155,250,0.1,155,1
Customer,00920,156,500,0.1,156,1
Customer,00920,157,250,0.1,157,1
Customer,00920,158,500,0.0,158,1
Customer,00920,159,250,1.0,159,1
Customer,00921,160,750,1.0,160,1
Customer,00921,161,750,2.0,161,1
Customer,00921,162,500,0.5,162,1
Customer,00921,163,1000,0.2,163,1
Customer,00921,164,250,2.0,164,1
Customer,00924,165,500,0.0,165,2
Customer,00924,166,1000,0.2,166,2
Customer,00924,167,250,0.2,167,1
Customer,00924,168,0,1.5,168,1
Customer,00924,169,250,0.0,169,1
Customer,00924,170,1000,0.2,170,1
Customer,00924,171,2000,0.2,171,1
Customer,00924,172,0,0.2,172,1
Customer,00924,173,500,1.5,173,1
Customer,00924,174,2000,0.5,174,1
Customer,00926,175,250,1.5,175,3
Customer,00926,176,750,0.2,176,3
Customer,00926,177,250,0.2,177,2
Customer,00926,178,0,0.5,178,2
Customer,00926,179,1000,0.0,179,2
Customer,00926,180,1000,0.2,180,2
Customer,00926,181,500,0.5,181,2
Customer,00926,182,750,1.0,182,2
Customer,00926,183,1000,0.5,183,2
Customer,00926,184,1000,1.0,184,2
Customer,00927,185,1000,0.1,185,1
Customer,00927,186,0,0.2,186,1
Customer,00927,187,750,0.2,187,1
Customer,00927,188,1000,0.2,188,1
Customer,00927,189,500,2.0,189,1
Customer,00927,190,2000,1.0,190,1
Customer,00927,191,0,1.5,191,1
Customer,00949,192,1500,0.5,192,1
Customer,00949,193,500,0.5,193,1
Customer,00949,194,250,2.0,194,1
Customer,00950,195,500,0.0,195,1
Customer,00950,196,500,0.1,196,1
Customer,00950,197,500,0.5,197,1
Customer,00950,198,0,0.1,198,1
Customer,00959,199,0,1.0,199,1
Customer,00959,200,500,0.5,200,1
Customer,00959,201,750,0.2,201,1
Customer,00959,202,1000,0.5,202,1
Customer,00966,203,750,2.0,203,1
Customer,00966,204,750,0.5,204,1
Customer,00966,205,1000,2.0,205,1
Customer,00966,206,2000,0.5,206,1
Customer,00966,207,0,0.2,207,1
Customer,00966,208,750,0.5,208,1
Customer,00968,209,0,0.1,209,1
Customer,00968,210,500,2.0,210,1
Customer,00968,211,500,1.5,211,1
Customer,00968,212,1000,0.5,212,1
Customer,00968,213,750,1.0,213,1
Customer,00968,214,1000,0.2,214,1
Customer,00968,215,1000,2.0,215,1
Customer,00969,216,250,0.1,216,3
Customer,00969,217,0,0.1,217,3
